1,6.511
2,3.257
3,3.174
4,1.610
5,3.059
6,1.848
7,3.027
8,1.571
9,6.530
10,1.844
11,3.115
12,3.260
13,6.241
14,6.520
15,1.392
16,2.955
17,6.471
18,4.623
19,1.673
20,4.758
21,6.557
22,3.057
23,6.436
24,4.957
25,3.390
26,6.507
27,1.420
28,2.975
29,3.001
30,6.320
31,1.400
32,3.433
33,5.023
34,1.746
35,4.927
36,1.566
37,4.848
38,4.796
39,1.489
40,3.173
41,1.384
42,1.522
43,1.573
44,3.205
45,4.630
46,6.513
47,1.428
48,5.039
49,1.731
50,6.489
51,3.426
52,1.370
53,4.916
54,4.888
55,6.557
56,1.422
57,6.276
58,2.985
59,4.988
60,4.663
61,1.548
62,6.285
63,4.851
64,1.666
65,3.440
66,3.377
67,6.346
68,6.378
69,1.551
70,1.396
71,1.454
72,1.381
73,3.309
74,1.411
75,4.900
76,3.245
77,1.479
78,6.468
79,6.185
80,1.447
81,1.620
82,1.822
83,6.617
84,2.957
85,3.195
86,1.608
87,4.717
88,4.619
89,1.699
90,1.653
91,3.243
92,1.580
93,6.168
94,1.690
95,1.514
96,6.209
97,6.609
98,1.737
99,6.368
100,6.225
